outcome,group,year,att,se,event_time,ci_low,ci_high
base_income,2012,2015,6925.16740250467,60.205104663549804,3,6807.165397364112,7043.169407645227
base_income,2012,2016,6962.451519427243,75.8407195333831,4,6813.803709141812,7111.099329712673
base_income,2013,2008,-29.537499044896666,137.64280671872407,-5,-299.3174002135958,240.2424021238025
base_income,2013,2009,27.363326933788926,199.98937482194034,-4,-364.61584771721414,419.342501584792
base_income,2013,2010,16.422740287449972,418.50961515328345,-3,-803.8561054129856,836.7015859878856
base_income,2013,2011,37.2621540395658,40.748717177098975,-2,-42.60533162754818,117.12963970667978
base_income,2013,2012,40.30284167535354,152.8051923245605,-1,-259.195335280785,339.80101863149207
base_income,2013,2013,6999.693765115287,4.546070762820865,0,6990.783466420157,7008.604063810416
base_income,2013,2014,6996.740916442911,5.614191217117514,1,6985.737101657361,7007.744731228461
base_income,2013,2015,6999.293327719683,10.443534904914424,2,6978.823999306051,7019.7626561333145
base_income,2013,2016,7008.568407963591,935.2101833075166,3,5175.556448680859,8841.580367246324
base_income,2014,2008,34.48740044616877,45.44224985762029,-6,-54.579409274766995,123.55421016710454
base_income,2014,2009,-80.08107113801425,100.8786387418438,-5,-277.8032030720281,117.64106079599959
base_income,2014,2010,68.34521826101258,351.50642815398226,-4,-620.6073809207926,757.2978174428179
base_income,2014,2011,42.1250050108436,68.5912186138575,-3,-92.31378347231711,176.56379349400433
base_income,2014,2012,-50.780557855931505,44.6858612536728,-2,-138.36484591313018,36.80373020126717
base_income,2014,2013,-1.5165354346364437,11.708819352142463,-1,-24.465821364835673,21.432750495562782
base_income,2014,2014,7000.268445604382,4.43773723476275,0,6991.570480624247,7008.966410584517
base_income,2014,2015,6996.522642007743,4.441139058913386,1,6987.818009452273,7005.2272745632135
base_income,2014,2016,6982.153658302321,53.862106163956454,2,6876.583930220966,7087.7233863836755
base_income,2015,2008,NA,NA,-7,NA,NA
base_income,2015,2009,NA,NA,-6,NA,NA
base_income,2015,2010,16.533740245330115,230.77955553661155,-5,-435.7941886064285,468.8616690970888
base_income,2015,2011,-4.468804332674481,101.2731728515979,-4,-202.96422312180638,194.0266144564574
base_income,2015,2012,-29.44468817349002,65.97935823009843,-3,-158.76423030448294,99.87485395750289
base_income,2015,2013,0.22449421685099338,6.0608461795664645,-2,-11.654764295099277,12.103752728801265
base_income,2015,2014,-0.982833263433095,3.3402167814711388,-1,-7.529658155116527,5.563991628250337
base_income,2015,2015,7002.146013339667,3.2466574778946713,0,6995.782564682993,7008.50946199634
base_income,2015,2016,6983.895196097853,36.849092956239716,1,6911.670973903623,7056.119418292083
base_income,2016,2008,NA,NA,-8,NA,NA
base_income,2016,2009,33.43130222429683,39.922789664871395,-7,-44.817365518851105,111.67996996744476
base_income,2016,2010,25.187495305427596,74.38059712892175,-6,-120.59847506725902,170.97346567811422
base_income,2016,2011,-19.659419721655397,116.58839762763685,-5,-248.1726790718236,208.85383962851284
base_income,2016,2012,74.89657319671147,73.72724664205228,-4,-69.608830221711,219.40197661513395
base_income,2016,2013,-2.0056768230704503,4.829109529797884,-3,-11.470731501474303,7.459377855333402
base_income,2016,2014,3.157440238334121,2.9739507742895452,-2,-2.6715032792733875,8.98638375594163
base_income,2016,2015,-0.8545521066562306,5.059065789669246,-1,-10.770321054407953,9.061216841095492
base_income,2016,2016,6999.905186786449,8.824268805770739,0,6982.609619927139,7017.2007536457595
